"Story","Title","Result","Date","Stability","Duration (s)"
"Accelerator","Test case -Accelerator","SUCCESS","2017-07-16T20:36:53.525+05:30","0.0","30.23"
"Country List","Test case -Country List","SUCCESS","2017-07-16T20:35:05.071+05:30","0.0","20.71"
"Menu","Test case -Menu","SUCCESS","2017-07-16T20:37:24.768+05:30","0.0","34.91"
"Not Signed In","Test case -Not Signed-In","FAILURE","2017-07-16T20:35:26.850+05:30","0.0","32.4"
"Search Autosuggestion","Test case -Search Autosuggestion","SUCCESS","2017-07-16T20:36:00.313+05:30","0.0","52.19"
"Search Box","Test case -Search Box","SUCCESS","2017-07-16T20:34:14.903+05:30","0.0","48.91"
"Signed In","Test case -Signed-In","FAILURE","2017-07-16T20:38:00.747+05:30","0.0","98.64"
