"Story","Title","Result","Date","Stability","Duration (s)"
"Search box","Test case -Search Box","SUCCESS","2017-07-20T21:19:47.495+05:30","0.0","31.8"
"Search box","Test case -Search Box","SUCCESS","2017-07-20T21:25:52.863+05:30","0.0","30.78"
