"Story","Title","Result","Date","Stability","Duration (s)"
"G","Test case -Country List","SUCCESS","2017-07-14T23:54:51.246+05:30","0.0","22.21"
"A","Test case -Global Nav (Accelerator)","SUCCESS","2017-07-14T23:53:46.414+05:30","0.0","63.66"
"B","Test case -Global Nav (Menu)","SUCCESS","2017-07-14T23:58:44.710+05:30","0.0","30.84"
"F","Test case -Not Signed-In","FAILURE","2017-07-14T23:58:19.158+05:30","0.0","24.49"
"D","Test case -Search Autosuggest","SUCCESS","2017-07-14T23:59:16.607+05:30","0.0","92.19"
"C","Test case -Search Box","SUCCESS","2017-07-14T23:57:33.873+05:30","0.0","44.33"
"E","Test case -Signed-In","FAILURE","2017-07-14T23:55:14.473+05:30","0.0","138.16"
