"Story","Title","Result","Date","Stability","Duration (s)"
"G","Test case -Country List","SKIPPED","2017-07-13T21:56:37.509+05:30","0.0","0.0"
"A","Test case -Global Nav (Accelerator)","SKIPPED","2017-07-13T21:56:36.317+05:30","0.0","0.0"
"B","Test case -Global Nav (Menu)","SKIPPED","2017-07-13T21:56:38.054+05:30","0.0","0.0"
"F","Test case -Not Signed-In","SKIPPED","2017-07-13T21:56:37.810+05:30","0.0","0.0"
"D","Test case -Search Autosuggest","SKIPPED","2017-07-13T21:56:38.378+05:30","0.0","0.0"
"C","Test case -Search Box","SKIPPED","2017-07-13T21:56:37.627+05:30","0.0","0.0"
"E","Test case -Signed-In","PENDING","2017-07-13T21:56:19.984+05:30","0.0","14.42"
