"Story","Title","Result","Date","Stability","Duration (s)"
"Country list","Show regions and its countries","SUCCESS","2017-09-18T17:00:21.119+05:30","0.0","30.66"
"Accelerator","Test case -Accelerator","SUCCESS","2017-09-18T16:59:52.395+05:30","0.0","26.41"
"Menu","Test case -Menu","SUCCESS","2017-09-18T17:00:54.144+05:30","0.0","20.9"
"Not signed in","Test case -Not Signed-In","SUCCESS","2017-09-18T17:01:17.398+05:30","0.0","136.5"
"Search autosuggestion","Test case -Search Autosuggestion","SUCCESS","2017-09-18T17:03:36.089+05:30","0.0","72.96"
"Search box","Test case -Search Box","SUCCESS","2017-09-18T17:04:51.409+05:30","0.0","34.65"
"Signed in","Test case -Signed-In","SUCCESS","2017-09-18T17:05:28.291+05:30","0.0","130.39"
