"Story","Title","Result","Date","Stability","Duration (s)"
"Country list","Show regions and its countries","SUCCESS","2018-01-24T17:08:18.075+05:30","0.0","21.89"
"Accelerator","Test case -Accelerator","SUCCESS","2018-01-24T17:07:56.510+05:30","0.0","19.23"
"Menu","Test case -Menu","SUCCESS","2018-01-24T17:08:42.202+05:30","0.0","13.55"
"Not signed in","Test case -Not Signed-In","SUCCESS","2018-01-24T17:08:58.102+05:30","0.0","127.15"
"Search autosuggestion","Test case -Search Autosuggestion","SUCCESS","2018-01-24T17:11:12.047+05:30","0.0","74.78"
"Search box","Test case -Search Box","SUCCESS","2018-01-24T17:12:29.055+05:30","0.0","24.25"
