"Story","Title","Result","Date","Stability","Duration (s)"
"Country list","Show regions and its countries","SUCCESS","2017-09-18T16:17:46.126+05:30","0.0","1806.22"
"Country list","Show regions and its countries","SUCCESS","2017-09-18T21:02:15.810+05:30","0.0","70.29"
"Accelerator","Test case -Accelerator","SUCCESS","2017-09-18T21:01:16.623+05:30","0.0","58.28"
"Menu","Test case -Menu","SUCCESS","2017-09-18T21:03:27.260+05:30","0.0","51.97"
"Not signed in","Test case -Not Signed-In","SUCCESS","2017-09-18T21:04:20.096+05:30","0.0","200.0"
"Search autosuggestion","Test case -Search Autosuggestion","SUCCESS","2017-09-18T21:07:41.843+05:30","0.0","113.58"
"Search box","Test case -Search Box","SUCCESS","2017-09-18T21:09:36.580+05:30","0.0","63.64"
"Signed in","Test case -Signed-In","SUCCESS","2017-09-18T21:10:41.102+05:30","0.0","190.89"
