"Story","Title","Result","Date","Stability","Duration (s)"
"Country list","Show regions and its countries","SUCCESS","2018-01-24T16:50:59.154+05:30","0.0","28.09"
"Accelerator","Test case -Accelerator","SUCCESS","2018-01-24T16:50:37.627+05:30","0.0","21.42"
"Menu","Test case -Menu","SUCCESS","2018-01-24T16:51:27.304+05:30","0.0","20.46"
"Not signed in","Test case -Not Signed-In","SUCCESS","2018-01-24T16:51:47.807+05:30","0.0","164.19"
"Search autosuggestion","Test case -Search Autosuggestion","SUCCESS","2018-01-24T16:54:32.047+05:30","0.0","107.11"
"Search box","Test case -Search Box","SUCCESS","2018-01-24T16:56:19.205+05:30","0.0","39.91"
"Signed in","Test case -Signed-In","FAILURE","2018-01-24T16:56:59.158+05:30","0.0","125.59"
